Episode,Epsilon,Avg_Coverage,Global_Coverage,Survival_Rate,Avg_Loss,Avg_Q,Stuck_Overrides
192,0.806,0.8574,0.8638,1.0,8.7042,22.5914,2
193,0.805,0.8362,0.8545,0.75,8.6459,22.3077,0
194,0.804,0.8604,0.8545,1.0,8.6206,22.3984,0
195,0.803,0.7684,0.8592,0.75,8.6887,22.1392,0
196,0.802,0.8336,0.8545,1.0,8.6644,22.0661,0
197,0.801,0.6523,0.8545,0.75,8.6816,21.9589,1
198,0.8,0.5587,0.8545,0.5,8.6429,22.036,0
199,0.799,0.8818,0.8592,1.0,8.7086,22.1961,0
200,0.798,0.7501,0.8545,0.75,8.6683,21.986,0
201,0.797,0.8402,0.8545,0.75,8.6426,21.7887,0
202,0.796,0.8312,0.8545,1.0,8.6887,21.9124,1
203,0.795,0.8248,0.8545,0.75,8.6059,21.8985,1
204,0.794,0.9139,0.8545,1.0,8.6527,21.8021,1
205,0.793,0.6944,0.8592,0.5,8.6845,21.8596,0
206,0.792,0.4846,0.8545,0.25,8.6197,21.276,0
207,0.791,0.9005,0.8545,1.0,8.6303,21.4363,1
208,0.79,0.8389,0.8545,1.0,8.5462,21.099,0
209,0.789,0.4761,0.8545,0.25,8.6407,21.4172,0
210,0.788,0.8286,0.8545,1.0,8.5392,21.3439,0
211,0.787,0.8921,0.8592,1.0,8.5691,20.8408,0
212,0.786,0.7777,0.8545,0.75,8.6181,20.858,0
213,0.785,0.6949,0.8545,0.5,8.6225,20.7977,0
214,0.784,0.8513,0.8545,1.0,8.5569,20.8282,0
215,0.783,0.6218,0.8545,0.5,8.6031,20.9072,0
216,0.782,0.874,0.8545,1.0,8.4396,20.6498,1
217,0.781,0.7074,0.8545,0.75,8.42,20.5719,0
218,0.78,0.7805,0.8592,0.5,8.4573,20.5794,0
219,0.779,0.7936,0.8592,0.75,8.5204,20.6823,1
220,0.778,0.8697,0.8545,1.0,8.5095,20.7197,0
221,0.777,0.8236,0.8545,0.75,8.3911,20.0846,0
222,0.776,0.8281,0.8545,0.5,8.4751,20.0463,0
223,0.775,0.8375,0.8638,1.0,8.3688,19.9312,1
224,0.774,0.7423,0.8545,0.75,8.3655,19.9083,1
225,0.773,0.831,0.8592,1.0,8.5011,20.0276,0
226,0.772,0.86,0.8545,1.0,8.3051,19.4899,0
227,0.771,0.7125,0.8638,0.5,8.2456,19.405,1
228,0.77,0.6948,0.8545,0.75,8.2861,19.2506,0
229,0.769,0.7929,0.8545,0.5,8.2003,19.0998,0
230,0.768,0.8057,0.8545,0.75,8.1534,19.2679,1
231,0.767,0.8623,0.8592,1.0,8.1054,19.593,0
232,0.766,0.8732,0.8592,1.0,8.0749,19.4592,0
233,0.765,0.4897,0.8545,0.5,8.1387,19.6365,0
234,0.764,0.7944,0.8545,0.75,8.0769,19.5597,0
235,0.763,0.7876,0.8545,0.5,8.129,19.5345,1
236,0.762,0.7952,0.8545,0.75,7.9782,19.3237,0
237,0.761,0.8587,0.8545,1.0,7.9289,19.63,0
238,0.76,0.8521,0.8592,1.0,8.0383,19.6535,0
239,0.759,0.5633,0.8545,0.5,7.9286,19.4512,0
240,0.758,0.7035,0.8545,0.5,8.0215,19.5812,0
241,0.757,0.6874,0.8545,0.5,7.809,19.4175,0
242,0.756,0.9201,0.8545,0.5,7.7294,19.316,1
243,0.755,0.8878,0.8545,1.0,7.8414,19.459,0
244,0.754,0.8814,0.8545,1.0,7.8184,19.4058,0
245,0.753,0.8167,0.8592,0.75,7.8208,19.3271,0
246,0.752,0.7978,0.8545,0.75,7.6567,19.3447,0
247,0.751,0.925,0.8545,1.0,7.6443,19.2975,0
248,0.749,0.8754,0.8545,1.0,7.6811,19.4556,0
249,0.748,0.635,0.8545,0.25,7.7167,19.5549,1
250,0.747,0.8251,0.8592,1.0,7.7887,19.5226,0
251,0.746,0.8843,0.8592,1.0,7.7138,19.7336,0
252,0.745,0.7792,0.8545,0.75,7.5778,19.7828,0
253,0.744,0.8203,0.8545,1.0,7.6706,19.7622,0
254,0.743,0.8163,0.8545,0.75,7.7165,19.6665,0
255,0.742,0.8437,0.8545,1.0,7.6752,19.7702,0
256,0.741,0.8677,0.8592,1.0,7.6247,19.87,1
257,0.74,0.8759,0.8545,1.0,7.4817,19.7562,0
258,0.739,0.84,0.8592,0.75,7.4883,19.8004,0
259,0.738,0.8477,0.8685,1.0,7.5693,19.7817,0
260,0.737,0.6715,0.8638,0.75,7.6294,19.7985,0
261,0.736,0.8712,0.8545,0.75,7.442,19.9843,2
262,0.735,0.8858,0.8545,0.75,7.4895,19.6363,0
263,0.734,0.8342,0.8545,0.75,7.436,19.8646,0
264,0.733,0.8481,0.8545,0.75,7.5523,19.7612,0
265,0.732,0.878,0.8638,1.0,7.4677,19.7868,0
266,0.731,0.8635,0.8545,1.0,7.3694,19.8803,0
